Zip Code,State,City,Average Annual Cost,Percent difference from national average,County
91770,California,Rosemead,"$1,471.00",-23.00%,Los Angeles County
90640,California,Montebello,"$1,624.00",-14.00%,Los Angeles County
90019,California,Los Angeles,"$2,100.00",11.00%,Los Angeles County
91950,California,National City,"$1,331.00",-30.00%,San Diego County
92707,California,Santa Ana,"$1,531.00",-19.00%,Orange County
90660,California,Pico Rivera,"$1,618.00",-15.00%,Los Angeles County
92627,California,Costa Mesa,"$1,545.00",-19.00%,Orange County
92504,California,Riverside,"$1,642.00",-14.00%,Riverside County
95608,California,Carmichael,"$1,391.00",-27.00%,Sacramento County
93905,California,Salinas,"$1,253.00",-34.00%,Monterey County
95014,California,Cupertino,"$1,215.00",-36.00%,Santa Clara County
92647,California,Huntington Beach,"$1,548.00",-18.00%,Orange County
91702,California,Azusa,"$1,553.00",-18.00%,Los Angeles County
94122,California,San Francisco,"$1,528.00",-20.00%,San Francisco County
95111,California,San Jose,"$1,274.00",-33.00%,Santa Clara County
90004,California,Los Angeles,"$1,987.00",5.00%,Los Angeles County
91732,California,El Monte,"$1,499.00",-21.00%,Los Angeles County
91761,California,Ontario,"$1,588.00",-16.00%,San Bernardino County
90731,California,Los Angeles,"$1,600.00",-16.00%,Los Angeles County
92630,California,Lake Forest,"$1,661.00",-13.00%,Orange County
90042,California,Los Angeles,"$1,981.00",4.00%,Los Angeles County
92570,California,Perris,"$1,836.00",-3.00%,Riverside County
95112,California,San Jose,"$1,282.00",-32.00%,Santa Clara County
93030,California,Oxnard,"$1,227.00",-35.00%,Ventura County
92324,California,Colton,"$1,635.00",-14.00%,San Bernardino County
92507,California,Riverside,"$1,672.00",-12.00%,Riverside County
92571,California,Perris,"$1,695.00",-11.00%,Riverside County
93117,California,Goleta,"$1,265.00",-33.00%,Santa Barbara County
95355,California,Modesto,"$1,325.00",-30.00%,Stanislaus County
95051,California,Santa Clara,"$1,180.00",-38.00%,Santa Clara County
93312,California,Bakersfield,"$1,427.00",-25.00%,Kern County
92057,California,Oceanside,"$1,381.00",-27.00%,San Diego County
95828,California,Florin,"$1,415.00",-25.00%,Sacramento County
90001,California,Florence-Graham,"$2,090.00",10.00%,Los Angeles County
90066,California,Los Angeles,"$1,747.00",-8.00%,Los Angeles County
93309,California,Bakersfield,"$1,431.00",-25.00%,Kern County
92780,California,Tustin,"$1,539.00",-19.00%,Orange County
92117,California,San Diego,"$1,322.00",-30.00%,San Diego County
90006,California,Los Angeles,"$2,103.00",11.00%,Los Angeles County
93291,California,Visalia,"$1,352.00",-29.00%,Tulare County
92113,California,San Diego,"$1,305.00",-31.00%,San Diego County
