Zip Code,State,City,Average Annual Cost,Percent difference from national average
90602,California,Whittier,"$1,648",-13%
92532,California,Lake Elsinore,"$1,716",-10%
95003,California,Rio del Mar,"$1,387",-27%
91106,California,Pasadena,"$1,583",-17%
93933,California,Marina,"$1,289",-32%
95864,California,Arden-Arcade,"$1,415",-25%
95367,California,Riverbank,"$1,335",-30%
92119,California,San Diego,"$1,360",-28%
91411,California,Van Nuys,"$2,016",6%
92011,California,Carlsbad,"$1,379",-27%
94619,California,Oakland,"$1,508",-21%
95503,California,Eureka,"$1,380",-27%
90274,California,Palos Verdes Estates,"$1,636",-14%
91775,California,East San Gabriel,"$1,467",-23%
95354,California,Modesto,"$1,352",-29%
92277,California,Twentynine Palms,"$1,650",-13%
90403,California,Santa Monica,"$1,874",-1%
93907,California,Prunedale,"$1,274",-33%
92251,California,Imperial,"$1,675",-12%
95776,California,Woodland,"$1,367",-28%
90740,California,Seal Beach,"$1,497",-21%
93041,California,Port Hueneme,"$1,242",-35%
95330,California,Lathrop,"$1,407",-26%
91737,California,Rancho Cucamonga,"$1,638",-14%
95531,California,Crescent City,"$1,420",-25%
90303,California,Inglewood,"$1,989",5%
95054,California,Santa Clara,"$1,191",-37%
95501,California,Eureka,"$1,370",-28%
90292,California,Los Angeles,"$1,763",-7%
90015,California,Los Angeles,"$2,100",11%
92585,California,Sun City,"$1,661",-13%
92651,California,Laguna Beach,"$1,624",-14%
94609,California,Oakland,"$1,524",-20%
94024,California,Los Altos,"$1,191",-37%
96007,California,Anderson,"$1,712",-10%
94085,California,Sunnyvale,"$1,194",-37%
92118,California,Coronado,"$1,288",-32%
91202,California,Glendale,"$1,836",-3%
93610,California,Chowchilla,"$1,550",-18%
94597,California,Walnut Creek,"$1,352",-29%
95746,California,Granite Bay,"$1,374",-28%
92782,California,Tustin,"$1,567",-17%
90404,California,Santa Monica,"$1,846",-3%
94089,California,Sunnyvale,"$1,195",-37%
94030,California,Millbrae,"$1,270",-33%
90720,California,Rossmoor,"$1,579",-17%
92354,California,Loma Linda,"$1,692",-11%
95405,California,Santa Rosa,"$1,197",-37%
91201,California,Glendale,"$1,794",-6%
92663,California,Newport Beach,"$1,592",-16%
92844,California,Garden Grove,"$1,525",-20%
93212,California,Corcoran,"$1,470",-23%
90732,California,Los Angeles,"$1,592",-16%
93203,California,Arvin,"$1,466",-23%
92225,California,Blythe,"$1,741",-8%
95135,California,San Jose,"$1,309",-31%
92344,California,Hesperia,"$1,783",-6%
93444,California,Nipomo,"$1,183",-38%
95620,California,Dixon,"$1,263",-33%
94596,California,Walnut Creek,"$1,330",-30%
92501,California,Riverside,"$1,644",-13%
94703,California,Berkeley,"$1,508",-21%
91101,California,Pasadena,"$1,573",-17%
93263,California,Shafter,"$1,536",-19%
90272,California,Pacific Palisades,"$2,041",7%
92808,California,Anaheim,"$1,702",-10%
90048,California,Los Angeles,"$2,070",9%
92602,California,Irvine,"$1,568",-17%
90068,California,Los Angeles,"$2,088",10%
94579,California,San Leandro,"$1,341",-29%
95391,California,Mountain House,"$1,379",-27%
95818,California,Sacramento,"$1,386",-27%
94706,California,Albany,"$1,380",-27%
95827,California,Rancho Cordova,"$1,388",-27%
95521,California,Arcata,"$1,373",-28%
92108,California,San Diego,"$1,300",-32%
93023,California,Ojai,"$1,309",-31%
92865,California,Orange,"$1,552",-18%
93560,California,Rosamond,"$1,473",-22%
90717,California,Lomita,"$1,583",-17%
92264,California,Palm Springs,"$1,777",-6%
92371,California,Phelan,"$1,932",2%
90603,California,Whittier,"$1,643",-13%
95949,California,Grass Valley,"$1,724",-9%
93630,California,Kerman,"$1,488",-22%
95965,California,Oroville,"$1,684",-11%
92377,California,Rialto,"$1,682",-11%
91040,California,Sunland,"$1,981",4%
95138,California,San Jose,"$1,301",-31%
92106,California,San Diego,"$1,295",-32%
93103,California,Santa Barbara,"$1,339",-29%
90715,California,Lakewood,"$1,843",-3%
94127,California,San Francisco,"$1,537",-19%
95819,California,Sacramento,"$1,379",-27%
91602,California,North Hollywood,"$1,957",3%
94519,California,Concord,"$1,314",-31%
94503,California,American Canyon,"$1,275",-33%
94019,California,Half Moon Bay,"$1,270",-33%
92603,California,Irvine,"$1,572",-17%
91011,California,La Canada Flintridge,"$1,694",-11%
95841,California,North Highlands,"$1,404",-26%
90069,California,West Hollywood,"$2,129",12%
95110,California,San Jose,"$1,275",-33%
91361,California,Thousand Oaks,"$1,456",-23%
96130,California,Susanville,"$1,795",-5%
94022,California,Los Altos,"$1,203",-37%
91381,California,Stevenson Ranch,"$1,938",2%
92082,California,Valley Center,"$1,589",-16%
91501,California,Burbank,"$1,901",0%
92887,California,Yorba Linda,"$1,664",-12%
92029,California,Escondido,"$1,517",-20%
94563,California,Orinda,"$1,371",-28%
90210,California,Beverly Hills,"$2,309",22%
94564,California,Pinole,"$1,316",-31%
90254,California,Hermosa Beach,"$1,588",-16%
95969,California,Paradise,"$1,702",-10%
91390,California,Santa Clarita,"$1,985",5%
91204,California,Glendale,"$1,769",-7%
95519,California,McKinleyville,"$1,376",-28%
91345,California,Los Angeles,"$1,935",2%
96161,California,Truckee,"$1,670",-12%
95366,California,Ripon,"$1,379",-27%
90814,California,Long Beach,"$1,715",-10%
92586,California,Sun City,"$1,593",-16%
95602,California,Auburn,"$1,515",-20%
92270,California,Rancho Mirage,"$1,663",-12%
90502,California,West Carson,"$1,582",-17%
93111,California,Santa Barbara,"$1,303",-31%
93268,California,Taft,"$1,538",-19%
93927,California,Greenfield,"$1,334",-30%
93210,California,Coalinga,"$1,552",-18%
92582,California,San Jacinto,"$1,654",-13%
93015,California,Fillmore,"$1,332",-30%
94945,California,Novato,"$1,311",-31%
90265,California,Malibu,"$2,190",15%
92587,California,Canyon Lake,"$1,714",-10%
94949,California,Novato,"$1,305",-31%
91901,California,Alpine,"$1,540",-19%
91506,California,Burbank,"$1,856",-2%
95959,California,Nevada City,"$1,720",-9%
91902,California,Chula Vista,"$1,388",-27%
94595,California,Walnut Creek,"$1,361",-28%
91723,California,Covina,"$1,638",-14%
95334,California,Livingston,"$1,317",-31%
93930,California,King City,"$1,373",-28%
94301,California,Palo Alto,"$1,189",-37%
95448,California,Healdsburg,"$1,234",-35%
93247,California,Lindsay,"$1,425",-25%
92617,California,Irvine,"$1,582",-17%
94618,California,Oakland,"$1,462",-23%
93013,California,Carpinteria,"$1,266",-33%
92610,California,Foothill Ranch,"$1,694",-11%
94702,California,Berkeley,"$1,513",-20%
93241,California,Lamont,"$1,418",-25%
95816,California,Sacramento,"$1,377",-27%
91914,California,Chula Vista,"$1,369",-28%
93728,California,Fresno,"$1,476",-22%
91436,California,Encino,"$2,164",14%
90245,California,El Segundo,"$1,556",-18%
93648,California,Parlier,"$1,493",-21%
90701,California,Artesia,"$1,845",-3%
90670,California,Santa Fe Springs,"$1,858",-2%
95673,California,Rio Linda,"$1,391",-27%
94305,California,Stanford,"$1,200",-37%
94612,California,Oakland,"$1,500",-21%
94960,California,San Anselmo,"$1,420",-25%
93402,California,Los Osos,"$1,117",-41%
93631,California,Kingsburg,"$1,463",-23%
92637,California,Laguna Woods,"$1,667",-12%
94505,California,Discovery Bay,"$1,328",-30%
95963,California,Orland,"$1,546",-19%
91203,California,Glendale,"$1,776",-6%
95252,California,Valley Springs,"$1,624",-14%
93110,California,Santa Barbara,"$1,314",-31%
94556,California,Moraga,"$1,353",-29%
95422,California,Clearlake,"$1,557",-18%
90623,California,La Palma,"$1,518",-20%
